time_s	Field_T	freq_Hz	amp_V
0.0	1.1090965708191731e-21	-6.05907360054522e-15	0.007326513490718698
9.448797637848426e-07	-4.860516155029417e-07	-31.7854317636687	0.007318501129203158
1.8897595275696853e-06	-4.873194342824265e-06	-61.66619769698677	0.007312605356866231
2.834639291354528e-06	-4.936869563754809e-06	-89.68893465265043	0.007308700334368147
3.7795190551393706e-06	-1.1402179047773542e-05	-115.90027948335587	0.0073066602223691435
4.7243988189242135e-06	-1.0931341184986106e-05	-140.34686904179927	0.007306359181529449
5.669278582709056e-06	-1.1272912013992926e-05	-163.07534018067687	0.007307671372509295
6.6141583464938986e-06	-2.3276191977907552e-05	-184.13232975268483	0.007310470955968918
7.559038110278741e-06	-1.8444642720316108e-05	-203.56447461051934	0.007314632092568548
8.503917874063584e-06	-1.5507586064880795e-05	-221.41841160687665	0.007320028942968419
9.448797637848427e-06	-1.6730773095481296e-05	-237.74077759445296	0.007326535667828761
1.039367740163327e-05	-2.4317402493223844e-05	-252.57820942594435	0.007334026427809807
1.1338557165418112e-05	-3.3618689213719186e-05	-265.9773439540471	0.00734237538357179
1.2283436929202955e-05	-3.75281956642966e-05	-277.98481803145756	0.007351456695774943
1.3228316692987797e-05	-3.3732511328870956e-05	-288.64726851087164	0.007361144525079498
1.417319645677264e-05	-2.6993201653999635e-05	-298.01133224498574	0.007371313032145688
1.5118076220557482e-05	-3.033476253545752e-05	-306.1236460864959	0.007381836377633743
1.6062955984342326e-05	-3.53243902565068e-05	-313.03084688809855	0.0073925887222038985
1.700783574812717e-05	-3.578986666345997e-05	-318.7795715024897	0.007403444226516386
1.795271551191201e-05	-3.867831225697593e-05	-323.41645678236563	0.007414277051231436
1.8897595275696854e-05	-3.951948699813271e-05	-326.98813958042246	0.007424961357009284
1.9842475039481697e-05	-4.5344666519152124e-05	-329.5412567493565	0.0074353713045101615
2.078735480326654e-05	-4.729666547118855e-05	-331.12244514186386	0.0074453810543943
2.173223456705138e-05	-4.021100359933827e-05	-331.7783416106408	0.00745486476732193
2.2677114330836224e-05	-3.9339286160295686e-05	-331.5555830083834	0.007463696603953289
2.3621994094621067e-05	-3.435002245285146e-05	-330.50080618778793	0.007471750724948606
2.456687385840591e-05	-3.185183337085773e-05	-328.66064800155067	0.007478901290968112
2.5511753622190752e-05	-3.2066709836162554e-05	-326.08174530236784	0.007485022462672044
2.6456633385975594e-05	-3.7821261304052624e-05	-322.81073494293537	0.0074899884007206315
2.7401513149760437e-05	-3.837299080180127e-05	-318.89425377594966	0.007493673265774107
2.834639291354528e-05	-3.835792794475574e-05	-314.37893865410706	0.007495951218492703
2.9291272677330122e-05	-3.7581689601792795e-05	-309.3114264301035	0.007496696419536654
3.0236152441114964e-05	-3.8625331286588735e-05	-303.73881712849544	0.007495783884149519
3.118103220489981e-05	-4.0688050011692433e-05	-297.76425456892093	0.007493192032157747
3.212591196868465e-05	-3.60523988190245e-05	-291.5997279581605	0.007489100110470245
3.3070791732469495e-05	-4.0479474041919986e-05	-285.4697321432192	0.007483710439745822
3.401567149625434e-05	-4.342270852986925e-05	-279.5987619711022	0.00747722534064329
3.496055126003918e-05	-4.906148972137828e-05	-274.2113122888147	0.007469847133821455
3.590543102382402e-05	-4.541122787137043e-05	-269.5318779433619	0.007461778139939125
3.6850310787608866e-05	-3.985466004590776e-05	-265.7849537817489	0.00745322067965511
3.779519055139371e-05	-3.815559458169535e-05	-263.19503465098103	0.007444377073628219
3.874007031517855e-05	-4.453878029655288e-05	-261.98661539806335	0.007435449642517261
3.968495007896339e-05	-4.6581322640188505e-05	-262.38419087000113	0.007426640706981043
4.0629829842748236e-05	-5.251393086876916e-05	-264.61225591379946	0.007418152587678375
4.157470960653308e-05	-3.664065957301734e-05	-268.8953053764636	0.007410187605268068
4.251958937031792e-05	-3.583940121118342e-05	-275.4578341049986	0.0074029480804089255
4.346446913410276e-05	-4.366273409075848e-05	-284.5243369464099	0.007396636333759762
4.4409348897887606e-05	-4.999667116039903e-05	-296.3193087477024	0.007391454685979382
4.535422866167245e-05	-4.902698154845221e-05	-311.060991535769	0.007387602324336387
4.629910842545729e-05	-4.18110978997161e-05	-328.68439774500246	0.007385136505127989
4.7243988189242133e-05	-4.322703224758904e-05	-348.73153848643295	0.007383917545274106
4.8188867953026976e-05	-4.5594052056123576e-05	-370.7154766298292	0.00738379125525849
4.913374771681182e-05	-4.60861729936933e-05	-394.1492750449603	0.007384603445564899
5.007862748059666e-05	-5.238703842253188e-05	-418.545996601595	0.007386199926677088
5.1023507244381504e-05	-5.294627211701654e-05	-443.4187041695023	0.007388426509078814
5.1968387008166346e-05	-5.281267331983301e-05	-468.28046061845123	0.007391129003253832
5.291326677195119e-05	-4.6693939440220374e-05	-492.6443288182103	0.007394153219685896
5.385814653573603e-05	-4.9021388155246684e-05	-516.0233716385487	0.007397344968858762
5.4803026299520874e-05	-5.168748971468189e-05	-537.9306519492353	0.0074005500612561856
5.5747906063305716e-05	-5.46621726919357e-05	-557.8792326200389	0.0074036143073619234
5.669278582709056e-05	-5.3769134121421664e-05	-575.3821765207285	0.007406383517659731
5.76376655908754e-05	-5.2582289713545e-05	-589.952546521073	0.007408703502633365
5.8582545354660244e-05	-6.069876597412479e-05	-601.1034054908413	0.0074104200727665775
5.9527425118445086e-05	-6.596706097145691e-05	-608.3478162998023	0.007411379038543128
6.047230488222993e-05	-7.387375171506108e-05	-611.2162825150725	0.007411432369846117
6.141718464601477e-05	-7.306888424766868e-05	-609.6404437427674	0.007410573702743627
