time_s	Field_T	freq_Hz	amp_V
0.0	-8.881962000000003e-07	7.050558371543529e-15	0.29880456536806826
5.612525178538729e-06	-4.209879432684467e-06	99.36701842093055	0.29888654886370586
1.1225050357077457e-05	-1.244956814929651e-05	209.43215747035745	0.29892036421113755
1.6837575535616186e-05	-1.627055329836448e-05	303.15144505720536	0.2989115041096831
2.2450100714154915e-05	-2.4001075878558285e-05	353.4809090903989	0.29886546125866226
2.8062625892693644e-05	-3.307876645589957e-05	333.3765774788623	0.29878772835739487
3.367515107123237e-05	-3.7208666417936765e-05	215.79447813152058	0.29868379810520074
3.92876762497711e-05	-4.7850714025146325e-05	-26.309361042701767	0.29855916320139964
4.490020142830983e-05	-5.516426386855363e-05	-419.9789121348813	0.29841931634531116
5.051272660684856e-05	-6.35715014734048e-05	-992.2581472360923	0.29826975023625546
5.612525178538729e-05	-7.769577419116154e-05	-1770.1910384374096	0.2981159575735521
6.173777696392601e-05	-8.474359807369738e-05	-2780.4933369320365	0.2979633678482344
6.735030214246474e-05	-9.326131066242627e-05	-4026.356645532839	0.29781288030625613
7.296282732100348e-05	-0.00010330014026242814	-5472.118053188414	0.2976579116497854
7.85753524995422e-05	-0.00011042603023663433	-7078.476214171847	0.2974911778967182
8.418787767808093e-05	-0.00011795891366541742	-8806.129782756238	0.2973053950649508
8.980040285661966e-05	-0.00012699756669715752	-10615.77741321467	0.29709327917237915
9.541292803515839e-05	-0.00013386074536996198	-12470.150375391673	0.29684877355932804
0.00010102545321369712	-0.0001420635117619942	-14341.026497614284	0.2965712840078567
0.00010663797839223584	-0.00015058386637364059	-16202.699502354213	0.2962617354329855
0.00011225050357077457	-0.00016099519213679515	-18029.463213994266	0.2959210528112703
0.00011786302874931331	-0.0001624700463737583	-19795.611456917246	0.2955501611192668
0.00012347555392785203	-0.00016728371320428687	-21475.91158330292	0.29515091390212667
0.00012908807910639076	-0.00016894262029103218	-23051.703056670045	0.2947380523458894
0.0001347006042849295	-0.000178362183459669	-24509.134268665126	0.2943357477474933
0.00014031312946346822	-0.00018311794419360563	-25834.4636810501	0.2939683872468604
0.00014592565464200695	-0.0001924121803665966	-27013.949755586927	0.29366035798391293
0.00015153817982054569	-0.00019733167427133793	-28033.84579189417	0.29343589903499107
0.0001571507049990844	-0.00021447710094312102	-28879.907110931632	0.29330496616450563
0.00016276323017762312	-0.00022474381284530272	-29536.98346268199	0.2932515410263069
0.00016837575535616186	-0.0002412819799339723	-29989.828660986223	0.2932568535783376
0.0001739882805347006	-0.00024751406654445246	-30223.196519685276	0.29330213377854025
0.00017960080571323932	-0.0002555037874241579	-30221.840852620127	0.29336861158485755
0.00018521333089177805	-0.0002606143511154061	-29982.533394859845	0.2934404309912797
0.00019082585607031678	-0.0002665012805159115	-29561.588556709114	0.29351617355539045
0.00019643838124885552	-0.0002763468076948591	-29033.727225483297	0.2935988839308864
0.00020205090642739425	-0.0002825478274834184	-28473.675684056576	0.29369160807974776
0.00020766343160593295	-0.0002920588715584095	-27956.16021530316	0.293797391963955
0.00021327595678447169	-0.00030761592044349536	-27552.771490786865	0.2939187871230458
0.00021888848196301042	-0.0003158979594125637	-27285.011458488192	0.29405044711858536
0.00022450100714154915	-0.0003254540810296314	-27134.134829088085	0.29418067933737274
0.00023011353232008788	-0.00033668837724346794	-27080.258572752067	0.29429761176755426
0.00023572605749862661	-0.0003453680124482453	-27103.499659645684	0.29438937239727647
0.00024133858267716535	-0.00035534994711158705	-27184.030882602765	0.29444414444852846
0.00024695110785570405	-0.00036347960894467577	-27309.618689068775	0.2944576246989607
0.0002525636330342428	-0.00036750463329222107	-27483.25189003351	0.2944405717221089
0.0002581761582127815	-0.0003719892288653542	-27709.736321960612	0.2944055419507393
0.00026378868339132025	-0.00037461224183410924	-27993.877821313745	0.29436509181761794
0.000269401208569859	-0.0003756637736422735	-28340.48222455655	0.294331777755511
0.0002750137337483977	-0.0003860130763156893	-28746.740133055868	0.2943160123288522
0.00028062625892693644	-0.000393426381691318	-29167.802639652153	0.29431637298866303
0.0002862387841054752	-0.0003951855326685826	-29544.393329196526	0.29432737550210364
0.0002918513092840139	-0.000404070528035365	-29817.22281396355	0.2943435319842479
0.00029746383446255264	-0.0004139747450452296	-29927.0017062278	0.2943593545501697
0.00030307635964109137	-0.0004242552740883363	-29817.838033445074	0.2943697378468961
0.0003086888848196301	-0.00043179031604052804	-29496.797383288435	0.2943766652277812
0.0003143014099981688	-0.00044254758055278077	-29026.470493958204	0.2943883719003561
0.0003199139351767075	-0.00045178084792722885	-28471.351679117633	0.29441330740522614
0.00032552646035524625	-0.00045709457961868054	-27895.935252429976	0.2944599212829968
0.000331138985533785	-0.00046668075054841733	-27364.582747065127	0.29453662940991476
0.0003367515107123237	-0.0004757375024702556	-26914.5312530906	0.29464497069591467
0.00034236403589086244	-0.0004846969527278434	-26522.99544284875	0.29477126633224426
0.0003479765610694012	-0.0004917451177826957	-26159.144850186836	0.2948997977946739
0.0003535890862479399	-0.0005009875633787646	-25792.149008952078	0.29501484655897375
0.00035920161142647864	-0.0005043418692744775	-25391.17745299175	0.29510069410091444
0.00036481413660501737	-0.0005176448362780702	-24937.352011033854	0.2951442764220886
0.0003704266617835561	-0.0005292310168444445	-24485.416991566493	0.295148880591024
0.00037603918696209484	-0.0005359001639090012	-24118.12505633333	0.29512401414668504
0.00038165171214063357	-0.0005415277090689615	-23918.283384964256	0.29507919673609906
0.0003872642373191723	-0.0005493800545762809	-23968.699157089133	0.29502394800629334
